Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 00:58 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  650: out_BUS16_S1_T1: got 04d3, expected 0000
mismatch cycle  650: out_BUS16_S3_T1: got 04d3, expected 0000
mismatch cycle  650: out_BUS16_S3_T2: got 04d3, expected 0000
mismatch cycle  650: out_BUS16_S3_T3: got 04d3, expected 0000
mismatch cycle  650: out_BUS16_S3_T4: got 04d3, expected 0000
mismatch cycle  652: out_BUS16_S1_T1: got 04fa, expected 04d3
mismatch cycle  652: out_BUS16_S3_T1: got 04fa, expected 04d3
mismatch cycle  652: out_BUS16_S3_T2: got 04fa, expected 04d3
mismatch cycle  652: out_BUS16_S3_T3: got 04fa, expected 04d3
mismatch cycle  652: out_BUS16_S3_T4: got 04fa, expected 04d3
mismatch cycle  653: out_BUS16_S1_T1: got 0485, expected 04fa
mismatch cycle  653: out_BUS16_S3_T1: got 0485, expected 04fa
mismatch cycle  653: out_BUS16_S3_T2: got 0485, expected 04fa
mismatch cycle  653: out_BUS16_S3_T3: got 0485, expected 04fa
mismatch cycle  653: out_BUS16_S3_T4: got 0485, expected 04fa
mismatch cycle  654: out_BUS16_S1_T1: got 04fa, expected 0485
mismatch cycle  654: out_BUS16_S3_T1: got 04fa, expected 0485
mismatch cycle  654: out_BUS16_S3_T2: got 04fa, expected 0485
mismatch cycle  654: out_BUS16_S3_T3: got 04fa, expected 0485
mismatch cycle  654: out_BUS16_S3_T4: got 04fa, expected 0485
mismatch cycle  655: out_BUS16_S1_T1: got 053b, expected 04fa
mismatch cycle  655: out_BUS16_S3_T1: got 053b, expected 04fa
mismatch cycle  655: out_BUS16_S3_T2: got 053b, expected 04fa
mismatch cycle  655: out_BUS16_S3_T3: got 053b, expected 04fa
mismatch cycle  655: out_BUS16_S3_T4: got 053b, expected 04fa
mismatch cycle  656: out_BUS16_S1_T1: got 04d3, expected 053b
mismatch cycle  656: out_BUS16_S3_T1: got 04d3, expected 053b
mismatch cycle  656: out_BUS16_S3_T2: got 04d3, expected 053b
mismatch cycle  656: out_BUS16_S3_T3: got 04d3, expected 053b
mismatch cycle  656: out_BUS16_S3_T4: got 04d3, expected 053b
mismatch cycle  657: out_BUS16_S1_T1: got 04ed, expected 04d3
mismatch cycle  657: out_BUS16_S3_T1: got 04ed, expected 04d3
mismatch cycle  657: out_BUS16_S3_T2: got 04ed, expected 04d3
mismatch cycle  657: out_BUS16_S3_T3: got 04ed, expected 04d3
mismatch cycle  657: out_BUS16_S3_T4: got 04ed, expected 04d3
mismatch cycle  658: out_BUS16_S1_T1: got 04b9, expected 04ed
mismatch cycle  658: out_BUS16_S3_T1: got 04b9, expected 04ed
mismatch cycle  658: out_BUS16_S3_T2: got 04b9, expected 04ed
mismatch cycle  658: out_BUS16_S3_T3: got 04b9, expected 04ed
mismatch cycle  658: out_BUS16_S3_T4: got 04b9, expected 04ed
mismatch cycle  659: out_BUS16_S1_T1: got 04ac, expected 04b9
