Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 01:00 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  786: out_BUS16_S1_T2: got 0415, expected 0000
mismatch cycle  786: out_BUS16_S3_T1: got 0415, expected 0000
mismatch cycle  786: out_BUS16_S3_T2: got 0415, expected 0000
mismatch cycle  786: out_BUS16_S3_T3: got 0415, expected 0000
mismatch cycle  786: out_BUS16_S3_T4: got 0415, expected 0000
mismatch cycle  788: out_BUS16_S1_T2: got 0436, expected 0415
mismatch cycle  788: out_BUS16_S3_T1: got 0436, expected 0415
mismatch cycle  788: out_BUS16_S3_T2: got 0436, expected 0415
mismatch cycle  788: out_BUS16_S3_T3: got 0436, expected 0415
mismatch cycle  788: out_BUS16_S3_T4: got 0436, expected 0415
mismatch cycle  789: out_BUS16_S1_T2: got 03d3, expected 0436
mismatch cycle  789: out_BUS16_S3_T1: got 03d3, expected 0436
mismatch cycle  789: out_BUS16_S3_T2: got 03d3, expected 0436
mismatch cycle  789: out_BUS16_S3_T3: got 03d3, expected 0436
mismatch cycle  789: out_BUS16_S3_T4: got 03d3, expected 0436
mismatch cycle  790: out_BUS16_S1_T2: got 0436, expected 03d3
mismatch cycle  790: out_BUS16_S3_T1: got 0436, expected 03d3
mismatch cycle  790: out_BUS16_S3_T2: got 0436, expected 03d3
mismatch cycle  790: out_BUS16_S3_T3: got 0436, expected 03d3
mismatch cycle  790: out_BUS16_S3_T4: got 0436, expected 03d3
mismatch cycle  791: out_BUS16_S1_T2: got 046d, expected 0436
mismatch cycle  791: out_BUS16_S3_T1: got 046d, expected 0436
mismatch cycle  791: out_BUS16_S3_T2: got 046d, expected 0436
mismatch cycle  791: out_BUS16_S3_T3: got 046d, expected 0436
mismatch cycle  791: out_BUS16_S3_T4: got 046d, expected 0436
mismatch cycle  792: out_BUS16_S1_T2: got 0415, expected 046d
mismatch cycle  792: out_BUS16_S3_T1: got 0415, expected 046d
mismatch cycle  792: out_BUS16_S3_T2: got 0415, expected 046d
mismatch cycle  792: out_BUS16_S3_T3: got 0415, expected 046d
